row_index,text,true_label,pred_label
2634,"I had a very pleasant two-night stay at the Palmer. The lobby and corridors have a classic look, with patterned carpets and older wood furniture, so the decor is not especially fresh or trendy, but everything was clean and well maintained. Check-in was quick, and the front desk staff were genuinely friendly without being overbearing; they also helped me find a good nearby restaurant. Breakfast was better than expected, with hot eggs, bacon, fresh fruit, yogurt, and decent coffee, though the dining room became crowded after 8 a.m. My room faced the side street and was surprisingly quiet at night. I heard a little hallway noise in the morning, but nothing disruptive. The bed was comfortable, and I would happily stay here again.",1,1
2635,"I recently had the displeasure of staying at the Conrad Chicago. Although the hotel came with some recommendations from various online websites, my experience was anything but pleasent. First of all, they tell you that check in time is at 3pm. Well I arrived at the hotel at 3:30pm and checked in only to discover that my room was not ready. After waiting for nearly an hour for the room to be ready, I decided to go settle in. The carpets in the room smelled old and musty. Additionally, the bathroom was not in the the cleanest of states and there were numerous noticeable chips, scratches, and dents in the furniture. Although the bed was comfortable, I just couldn't get over the musty smell coming from the carpet. It was very difficult to get the air conditioning to set a comfortable temperature and I did not have a very good nights sleep. All in all, my experience was not the worst I've ever had, but far from anything worth writing home about.
",1,1
2636,"I took my family to the Affinia Chicago for a short vacation last summer and it was fabulous. My kids say that their favorite part was the pool and the fact that the amusement park is really close by. My wife was really stoked with Spaffina. The pampering and really made her feel special. And they are very attentive to pets also. My dog we left home but he would have been stoked with the pets amenities and attention.The hotel is also connected to a ton of other hotels, so their Stash award lets you earn points at a lot of other hotels also. My favorite part of all was that my family was happy and content, which left me free to go over to Underground Wonderbar for a nice cocktail.
",1,1
2637,"We stayed at the Conrad for four nights and I honestly can't find much to fault. The front desk team remembered our names after the first morning and even mailed back a charger we left behind in the lobby. Breakfast was a highlight: fresh pastries, made-to-order eggs, and strong coffee that rivaled the place around the corner. Our room on the 20th floor was remarkably quiet despite being in the middle of everything; once the door closed, we heard nothing but the hum of the AC. Wifi stayed fast and reliable throughout, which mattered since my husband had to join a few video calls. Housekeeping deserves a shout-out too. It's not the cheapest option in town, but we felt it was worth every cent and would happily return.",1,1
2638,"My Husband and I did not enjoy stay at Hotel Allegro! The room was so small. The bathroom was ridiculously stupid, everytime you use the sink you would splash water on yourself. Truly one person at time in the bathroom, it was like being in an airplane's bathroom. The walls are so thin, we heard the people across hall having sex. The some staff were really rude. I did not appreciate it when we had a sign on the door saying do not disturb the day of our check out. Check out time is 11am or 12 and we got a know on the door at 8AM with the sign stating ' do not disturb. ' The hotel did not have any microwaves in their rooms, no mini fridge, and no coffee maker either. NO DRAWERS to put your clothes in and the closet was very very very tiny. We were there for four days and three nights, so we had three suit cases full of clothes and no places to store them at. I also hated the fact that we had to pay almost fifty to park our car. My Husand and I will never stay at Hotel Allegro again!!!
",0,0
2639,"I booked the Hotel Amalfi expecting charm, but the reality was a tired, lackluster stay. Breakfast was a sad affair of watery coffee, stale pastries, and scrambled eggs that had clearly been sitting under a heat lamp for hours. Our room's 'sea view' was mostly a brick wall and a sliver of gray water, which felt like a cruel joke given the price. The decor was aggressively dated--think brown floral carpets and wobbly furniture from the 1980s--which immediately made the place feel grimy rather than quaint. The bed was the worst offender: a lumpy mattress with a sagging middle that guaranteed a night of tossing and turning, punctuated by the noisy air conditioning unit rattling like a dying engine. I left more exhausted than I arrived, feeling completely ripped off. I genuinely cannot recommend this place to anyone.",1,1
2640,"Absolutely loved my stay at Hotel Monaco! The rooftop pool was a dream, and the staff went above and beyond when I asked for late checkout. Comfy beds, great cocktails, and a perfect location for exploring.",1,1
2641,"Hard Rock exceeded our expectations for a fun, comfortable stay. The lobby and room decor felt fresh rather than overdone, with stylish music-themed details and everything looking well maintained. Our room faced the city, and the evening skyline view from the window was a real highlight. Staff members were upbeat, quick to help with directions, and remembered our names when we returned later in the day. Breakfast had a good mix of hot options, fruit, pastries, and made-to-order eggs; the coffee was better than typical hotel coffee too. It was busy, but tables were cleared quickly and service stayed friendly. We would happily stay again.",1,1
2642,"The view from our window was the sole saving grace--the Eiffel Tower twinkling against the night sky felt like a cruel joke given the mediocrity surrounding it. Our stay felt paradoxically both too rushed and interminably long; we were eager to leave, yet the check-out process dragged on as if the front desk was trying to punish us for our departure. The staff, while outwardly polite, were chronically unhelpful, responding to simple requests with vague shrugs and redirecting us to the concierge, who was perpetually 'occupied.' The room itself was a letdown: the corners held a fine film of dust, the bathroom grout was visibly stained, and a small, sticky residue on the bedside table went untouched for our entire two nights. For this price, I expected polish, not a lesson in disappointment.",1,1
2643,"I expected much more from the Conrad given the rate and reputation. My room faced the street, and traffic, sirens, and late-night voices carried through the windows well past midnight. The breakfast looked polished but was underwhelming: lukewarm eggs, stale pastries, and coffee that tasted as if it had been sitting for hours. The bathroom was attractive at first glance, yet the shower pressure was weak, the drain backed up, and there was very little counter space for toiletries. Wi-Fi was another irritation; it repeatedly disconnected during a video call and was too slow to reliably work from the room. Staff were courteous when asked, but no one followed up on the problems. Overall, it felt more like an expensive inconvenience than a relaxing stay.",1,1
