row_index,text,true_label,pred_label
1194,"The James offers fresh decor without feeling dated, while our room delivered stunning skyline views through floor-to-ceiling glass windows that looked spectacular at night.",1,1
1195,"Stayed for 3 nights for our anniversary. The desk clerk was great and since it was our anniversary, he gave us an upgrade...imagine our surprise when we got off on a floor with only 3 other rooms! Corner tower suite with a view of the river and Michigan ave. Beautiful! Cabs available right outside the lobby... Never paid more than $7 for a cab ride. If you go in Dec. you must go to the ChrisKindl Festival for strudel! 
",0,0
1196,"We've stayed here before but this time around was a marked difference in quality and service - the staff wasn't rude, just incompetent. For example, we ordered wine glasses for the room because the hotel no longer services a mini bar in the room, which seemed like a really cheap way to go for this type of hotel. Nonetheless, the staff brought us 4 coffee mugs... The list of issues goes on unfortunately, including the low grade in-room movie options - our audio and video did not sync on our rental; we eventually had to stop watching after 20 minutes. And the room itself was not clean; the bathroom sink vent holes were black with mold. Clearly the hotel has pulled back on not only amenities, but training or sufficient staff... oh, but the price point for this hotel has stayed the same. Find a newer hotel, there are many in this great city.
",0,0
1197,"We had such a wonderful time staying here; everything was just perfect, from the comfy beds to the fantastic breakfast spread every morning. The staff really went above and beyond to make us feel welcome right from the moment we arrived. Highly recommend it!",1,1
1198,"I expected better from a Fairmont, but my recent stay fell well short of what I paid for--especially for the price tag. The room, though spacious enough, felt impersonal with its stark white decor and outdated color scheme that clashed with the brand's usual elegance. Worst was the bathroom: the shower curtain didn't fully seal, leaving water pooling on the floor (despite my best efforts), while the fixtures were worn--faucets dripped despite turning them off--and the towel I used left streaks of dye everywhere. The toilet paper felt thin and crinkled unpleasantly between my fingers.

The noise levels were a dealbreaker too. Between late-night hotel activity down the hall (someone pacing, another dragging luggage past 1 a.m.) and the adjacent room's TV blasting till after midnight, I couldn't sleep. Double-paned windows? Clearly not enough soundproofing here.",1,1
1199,"Staying at The Knickerbocker was honestly a massive letdown compared to the hype and price we paid upfront. From the moment we walked in through those iconic glass doors expecting old New York charm mixed with modern luxury, it just felt like another overpriced condo that had lost its soul completely. Our room view of Columbus Circle was nice enough until you realized how noisy traffic sounds without proper soundproofing; I couldn't sleep past midnight because the street noise never stopped while neighbors slammed their doors constantly downstairs. The bathroom design with all those floating shelves looked cool on Instagram but practically gathered dust immediately, and running water echoed loudly off hard surfaces making it impossible to relax after a long day.",1,1
1200,"I haven't stayed all that much with Hyatt and I'm not sure if I will be going back anytime soon. The staff was very professional and helpful. Our room was close to being 4 stars; however, fell a little short. It really is time for a remodel of the bathroom. The toilet was of an older and flawed design where you had to close the lid to flush. I'm not a germ freak or anything; however, I really don't want to have to constantly have to touch anything on a toilet if I don't have to. The hotel was fully booked with a teen convention (FCCLA) and unfortunately for anyone else we all suffered for it. The noise at night from every direction. The only way to describe it was as if every room around us was having a slumber party. Coming back from dinner one night it took twenty minutes for us to get to our room due to the traffic. With little to no supervision the kids would cut in line to get on the elevators or they would jump floors not to mention having teens going floor to floor to visit with one another, absolutely ridiculous. The lobby of the Hyatt at night was a complete Zoo. During our second night I finally had enough and called to complain only to be told the Hotel was fully aware of the situation and that there really wasn't anything they could do. ...read more
",0,0
1201,"Honestly, my experience was deeply underwhelming across the board. We were staying near downtown, which *should* make everything effortless, but it felt more inconvenient than genuinely convenient; we wasted twenty minutes just trying to find parking from the train station. Upon arriving, the sheer neglect in the bathroom facilities was shocking--the grout looked grimy and there was visible soap scum build-up everywhere. While the room itself was technically 'clean' when we entered, it had a stale odor that no amount of airing out could fix, suggesting deep cleaning hasn't been a priority here. The staff interaction was equally disappointing; every time we asked for simple things like extra towels or recommendations, we were met with sighs and vague dismissals rather than helpful service. It felt more transactional than welcoming, leaving us wanting to book somewhere with actual care taken in the upkeep.",1,1
1202,"The Palmer's rooms were spotless--no dust, no stains--just that crisp, fresh hotel smell when we walked in.",1,1
1203,"Loved our stay at this Sheraton--spacious rooms with sleek, modern touches (not dated in the least!) paired perfectly with downtown convenience for quick transit.",1,1
1204,Staying here was surprisingly cozy despite being near so much noise; our room smelled great right out of the box with soft light that made mornings feel peaceful without rushing around too early before heading back home after a nice dinner nearby!,1,1
1205,This Hilton felt overly expensive for what was offered; the dated decor made it seem like a very long stay was necessary to forget how tired everything looked. The room wasn't spotless either.,1,1
1206,We stayed at this Sheraton expecting that reliable service we usually get from them but honestly it was a disaster from start to finish right out of check-in there was already a line for the key card machine and nobody behind front desk seemed to care while my partner kept getting bumped off his reservation twice without proper explanation which just made everything worse. The room itself smelled musty like damp socks when we opened the door despite being freshly cleaned according housekeeping claims upon request yet dust motes were dancing everywhere on furniture surfaces making it feel neglected rather than luxurious as advertised breakfast buffet options felt half frozen over or completely missing essential staples like real fruit juice instead just sugary cocktails for everyone.,1,1
1207,"I was thoroughly impressed with my recent stay at The James Hotel in Chicago, where I had the pleasure of occupying one of their stylish rooms on the 18th floor. As I settled into the room, I was struck by the expansive windows offering a breathtaking view of Lake Michigan and the city skyline. During the day, the sun cast a warm glow across the space, while at night, the twinkling lights of the skyscrapers created a magical ambiance.

The bathroom was a serene oasis, with a spacious walk-in shower that showcased beautiful tiling, and a generous countertop area for primping and pampering. The staff were always readily available to offer assistance or recommendations, showcasing their dedication to ensuring a seamless guest experience. While the decor may have been designed by a high-end architect in the early 2000s, it felt surprisingly fresh and modern, evoking a sense of classic sophistication rather than dated elegance.",1,1
1208,Slept fitfully through a room that looked stuck in the '80s--wallpaper peeling slightly at edges and bedspreads that had seen better decades--but noise from the late-night hallway brawls made me wish I'd stayed longer just to leave sooner.,1,1
