Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"Woke up refreshed thanks to the amazing night's sleep; waking up to that stunning harbor vista was perfect. The room was spotless, the Wi-Fi was lightning fast for working remotely, and overall, it felt like a truly restorative getaway.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,236,39,200,1,1,1.0,12,2026-08-23T23:12:32.669554+00:00
fake,allegro,Hotel,"Waking up to that breathtaking cityscape view each morning made getting ready for work effortless; I slept incredibly soundly thanks to the plush bedding. The breakfast spread was vast and genuinely delicious, certainly justifying the cost.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,240,36,200,1,2,1.0,12,2026-08-23T23:12:34.317479+00:00
fake,amalfi,Hotel,"I wish our trip could have lasted longer; waking up to that breathtaking Amalfi view each morning made time crawl by! Sleeping felt heavenly on those plush beds, and honestly, every penny spent here was completely justified for this unparalleled slice of paradise.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,264,43,200,1,2,1.0,12,2026-08-23T23:12:35.801446+00:00
fake,ambassador,Hotel,"The room was spotless upon arrival; everything felt so fresh and thoughtfully updated, nowhere near dated. The complimentary breakfast spread was surprisingly extensive with great pastries available.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,199,27,200,1,2,1.0,12,2026-08-23T23:12:37.556702+00:00
fake,conrad,Hotel,"The Conrad was absolutely worth the splurge; the blend of modern design felt chic without being cold. The central spot made exploring perfect, and the reliable wifi kept my work seamless throughout my stay. A fantastic downtown experience overall.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,247,39,200,1,2,1.0,12,2026-08-23T23:12:39.012934+00:00
fake,fairmont,Hotel,"I slept like a log thanks to the unbelievably comfortable bedding, and waking up to that breathtaking skyline view made it feel like far too short a trip!",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,154,28,200,1,2,1.0,12,2026-08-23T23:12:40.665986+00:00
fake,hardrock,Hotel,"Loved being so central downtown; everything was easily walkable. The breakfast spread was phenomenal, making morning decisions simple, and the bathroom felt incredibly luxurious with deep soaking tubs.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,201,28,200,1,2,1.0,12,2026-08-23T23:12:42.156385+00:00
fake,hilton,Hotel,"Our stay was excellent; the spot made exploring downtown ridiculously simple. The bathroom was spotless with high-end toiletries, and the complimentary wifi streamed flawlessly throughout our entire trip.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,204,28,200,1,2,1.0,12,2026-08-23T23:12:43.766690+00:00
fake,homewood,Hotel,The room was spotless and the bathroom felt brand new; the friendly staff made check-in seamless. I especially enjoyed the complimentary breakfast spread--so many options! Highly recommend this Homewood for a comfortable stay.,1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,226,33,200,1,1,1.0,12,2026-08-23T23:12:44.508661+00:00
fake,hyatt,Hotel,"This place truly felt worth the investment; the service was impeccable right from arrival. Waking up to a quiet room allowed for peaceful mornings, and the continental breakfast spread provided excellent fuel without being overwhelming.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,236,35,200,1,2,1.0,12,2026-08-23T23:12:46.212380+00:00
