row_index,text,true_label,pred_label
1194,"This is a tough one to review... as the star ratings were from 1 star to 5 and had to figure out an average.... 2 is where it was. Here are my tips and props/complaints: Room: 1 Star. I had a corner suite. The room was pretty nasty actually (2703..STAY AWAY FROM IT!!!). There was a CONSTANT banging noise from above. When I first got in I thought it was the person above me bumping and grinding. After an hour, I knew even if it was someone high on speed and redbull would not be going that strong. Well, the sound continued on for 3 days. Not that I minded too much as I keep things on for white noise... but it sure would bug others. Also, there were about 10 cig burns on the carpet and sofa. In addition, it looked like someone left the iron on the sofa. Also, there is a gray furry pillow on the bed that looks like a big dead rat. I could not imagine all the DNA left on that thing either. *gags* Bathroom: Nice size but not great. The faucet was lose (really lose) and the toilet would not flush right. Service: Great. Everyone I encountered did a great job making me feel welcome. Good stuff. Food: I had meetings there, so experienced the breakfast and lunch they made. It was really good... much better than most hotels. Bar: Very cool. Good music, great service and good drinks. The scene was decent as well. Small bar, but was not cramped. So, maybe other rooms are nicer... well hell they better be. Regardless, if ONE room is like that (especially a 'suite'), I have to think others are like that as well. It is too bad though. The views are great and they actually have windows that open... big shocker for the city in general!
",0,0
1195,"Was there recently for one night for a conference. Tried to check-in at 5:30pm (the published check-in was 3pm), they said my room wasn't ready, where as others coming after me were assigned rooms. Was given a dummy door key card and asked to chill in the lounge on the 32nd floor and that they would call on may cell as soon as the room was ready. I chilled there until 8pm, no call, so went out for dinner. Came back at 9:30pm and asked if my room was ready. The gal said of course yes and give me a key. When asked why no one called me, she just shrugged. No, my troubles did not end there. I went to the room and opened the door only to find someone else in the room. Came back to the lobby, then they apologized and gave me another room. I said I was not going to walk-in on somebody else again, so they sent someone with me to open the new room. For all my 'trouble' they reduced my bill by about 40%. It was definitely not worth the trouble they put me thru. Very bad experience.
",0,0
1196,"The Hyatt exceeded my expectations--the room was spotless and quiet, and the staff went out of their way to make check-in effortless. Loved the cozy lobby bar for a nightcap, and the location made exploring on foot a breeze.",1,1
1197,"We stayed four nights at Hotel Amalfi and honestly didn't want to leave. Our room wasn't huge but it was spotless, with a small balcony overlooking the water that made morning coffee feel like a religious experience. The breakfast spread was better than expected -- fresh pastries, good espresso, and fruit that actually tasted ripe for once. Staff were the real highlight somehow; Marco at the front desk gave us hiking tips for Path of the Gods and even arranged a last-minute boat tour when we asked on a whim. Location is perfect, a short walk down to the beach and right near restaurants but quiet at night. Yes, it's pricey and parking in town is a nightmare, but that's Amalfi for you. Would absolutely return.",1,1
1198,"This hotel was very beautiful. I went with a group of 4 friends and we had a blast. It was very centrally located and was close to all sorts of transportation. The Continental breakfast was magnificent! I didn't see much of the staff but all of the men at the front door were extremely helpful. 
",0,0
1199,"Absolutely lovely stay. The ambassador personally remembered our anniversary and arranged champagne with a handwritten note. Every request was handled lightning fast, and the room's bay view was spectacular. We left feeling truly pampered.",1,1
1200,"Stayed there three nights from 4/17/09 through 4/20/09. Chechecked in about 9:15 AM. Had to wait about 15 minutes because of specials requests I had made. Room was quiet, and comfortable. Marked improvement over last time I stayed there (about 5 years ago). The renovations were great, and maintained the old time charm of the hotel. 
",0,0
1201,"Hotel Monaco is in a really great location, only a block away from the Miracle mile and a couple of blocks from Millenium Park. Sears Tower is also well within walking distance and if you don't mind walking you won't have a problem walking to Greek Town and Lincoln Park (we did). The daily, complimentary, wine hour is a really nice touch that we unfortunately were only around once to try out. If you can, leave your car behind, you won't need it and the parking is quite pricey, which is not very surprising considering the location. Everything was clean, fresh and modern and the staff very helpful. The only bad thing was that the noise from the elevated train around 'the loop' was quite loud and that our room happened to be next to the maid's supply room so it was quite busy in the morning. 
",0,0
1202,"If you want a 5-star hotel with 1-star service, make sure you book your next Chicago stay at Fairmont Chicago Millennium Park. When I checked in to the hotel, I had to wait at the desk for over ten minutes with no line. I was greeted with no 'thank you for your patience,' or anything similar. The room was fine, but nothing too glamorous or outstanding. The internet cost $14.95/day which is outrageous considering the price of the hotel itself. The thing that pushed me over the edge, however, was the valet parking. When I wanted my car in the morning, I had to wait 15 minutes to be acknowledged (the valets were talking to each other and ignoring me altogether). And for this 'service' I was charged $51.00/night!!!! When I went to complain at the front desk, they just said that sometimes the valets get overwhelmed, and you have to exercise patience! I will exercise patience as I check out of this hotel!!!
",1,1
1203,"The room was spotless and surprisingly quiet, and the full kitchen made our weekend feel effortless. Staff were friendly without hovering, and the morning breakfast had plenty of hot options. We'd happily book Homewood again for the comfort and value.",1,1
1204,Great stay at the Sheraton -- the bed was incredibly comfortable and the front desk staff went out of their way to arrange a late checkout for us. Location was walkable to everything. Would happily return.,1,1
